model,mechanism,wire,doc,n_answers,pct_lenient_pass,pct_strict_pass,delta_pp
qwen2.5:7b,A0,native,aliases,1,100.0,100.0,0.0
qwen2.5:7b,A0,native,negation,1,100.0,100.0,0.0
qwen2.5:7b,A0,native,short,2,50.0,50.0,0.0
qwen2.5:7b,A0,native,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,A0,v1,aliases,1,100.0,100.0,0.0
qwen2.5:7b,A0,v1,negation,1,100.0,100.0,0.0
qwen2.5:7b,A0,v1,short,2,50.0,50.0,0.0
qwen2.5:7b,A0,v1,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,A1,native,aliases,1,100.0,100.0,0.0
qwen2.5:7b,A1,native,negation,1,100.0,100.0,0.0
qwen2.5:7b,A1,native,short,1,100.0,100.0,0.0
qwen2.5:7b,A1,native,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,A1,v1,aliases,1,100.0,100.0,0.0
qwen2.5:7b,A1,v1,negation,1,100.0,100.0,0.0
qwen2.5:7b,A1,v1,short,1,100.0,100.0,0.0
qwen2.5:7b,A1,v1,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,B,native,aliases,1,100.0,100.0,0.0
qwen2.5:7b,B,native,negation,1,100.0,100.0,0.0
qwen2.5:7b,B,native,short,1,100.0,100.0,0.0
qwen2.5:7b,B,native,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,B,v1,aliases,1,100.0,100.0,0.0
qwen2.5:7b,B,v1,negation,1,100.0,100.0,0.0
qwen2.5:7b,B,v1,short,1,100.0,100.0,0.0
qwen2.5:7b,B,v1,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,C,native,aliases,1,100.0,100.0,0.0
qwen2.5:7b,C,native,negation,1,100.0,100.0,0.0
qwen2.5:7b,C,native,short,1,100.0,100.0,0.0
qwen2.5:7b,C,native,table_noisy,1,100.0,100.0,0.0
qwen2.5:7b,C,v1,aliases,1,100.0,100.0,0.0
qwen2.5:7b,C,v1,negation,1,100.0,100.0,0.0
qwen2.5:7b,C,v1,short,1,100.0,100.0,0.0
qwen2.5:7b,C,v1,table_noisy,1,100.0,100.0,0.0
taguru-extract-12b,A0,native,aliases,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,long_dense,8,50.0,50.0,0.0
taguru-extract-12b,A0,native,long_dense#p0,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,long_dense#p1,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,long_dense#p2,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,long_dense#p3,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,long_dense#p4,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,negation,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,output_limit,14,21.4,21.4,0.0
taguru-extract-12b,A0,native,short,3,100.0,100.0,0.0
taguru-extract-12b,A0,native,table_noisy,3,100.0,100.0,0.0
taguru-extract-12b,A0,v1,long_dense,4,0.0,0.0,0.0
taguru-extract-12b,A0,v1,output_limit,4,0.0,0.0,0.0
taguru-extract-12b,A1,native,aliases,3,100.0,100.0,0.0
taguru-extract-12b,A1,native,long_dense,8,50.0,50.0,0.0
taguru-extract-12b,A1,native,negation,3,100.0,100.0,0.0
taguru-extract-12b,A1,native,output_limit,8,75.0,75.0,0.0
taguru-extract-12b,A1,native,short,3,100.0,100.0,0.0
taguru-extract-12b,A1,native,table_noisy,3,100.0,100.0,0.0
taguru-extract-12b,A1,v1,aliases,5,0.0,0.0,0.0
taguru-extract-12b,A1,v1,long_dense,4,0.0,0.0,0.0
taguru-extract-12b,A1,v1,negation,6,0.0,0.0,0.0
taguru-extract-12b,A1,v1,output_limit,4,0.0,0.0,0.0
taguru-extract-12b,A1,v1,short,4,0.0,0.0,0.0
taguru-extract-12b,B,native,aliases,3,100.0,100.0,0.0
taguru-extract-12b,B,native,long_dense,8,50.0,50.0,0.0
taguru-extract-12b,B,native,negation,3,100.0,100.0,0.0
taguru-extract-12b,B,native,output_limit,8,75.0,75.0,0.0
taguru-extract-12b,B,native,short,3,100.0,100.0,0.0
taguru-extract-12b,B,native,table_noisy,3,100.0,100.0,0.0
taguru-extract-12b,B,v1,aliases,1,0.0,0.0,0.0
taguru-extract-12b,B,v1,negation,1,0.0,0.0,0.0
taguru-extract-12b,B,v1,short,1,0.0,0.0,0.0
taguru-extract-12b,C,native,aliases,3,100.0,100.0,0.0
taguru-extract-12b,C,native,long_dense,8,75.0,75.0,0.0
taguru-extract-12b,C,native,negation,3,100.0,100.0,0.0
taguru-extract-12b,C,native,output_limit,8,50.0,50.0,0.0
taguru-extract-12b,C,native,short,3,100.0,100.0,0.0
taguru-extract-12b,C,native,table_noisy,3,100.0,100.0,0.0
