model,mechanism,wire,doc,n_calls,latency_ms_p50,latency_ms_p90,completion_tokens_p50,completion_tokens_p90
qwen2.5:7b,A0,native,aliases,1,13139,13139,189,189
qwen2.5:7b,A0,native,negation,1,19518,19518,296,296
qwen2.5:7b,A0,native,short,2,8102,10151,154,154
qwen2.5:7b,A0,native,table_noisy,1,15757,15757,255,255
qwen2.5:7b,A0,v1,aliases,1,10082,10082,189,189
qwen2.5:7b,A0,v1,negation,1,15609,15609,296,296
qwen2.5:7b,A0,v1,short,2,9515,12871,0,154
qwen2.5:7b,A0,v1,table_noisy,1,13918,13918,255,255
qwen2.5:7b,A1,native,aliases,1,15653,15653,189,189
qwen2.5:7b,A1,native,negation,1,23096,23096,296,296
qwen2.5:7b,A1,native,short,1,12235,12235,197,197
qwen2.5:7b,A1,native,table_noisy,1,22657,22657,255,255
qwen2.5:7b,A1,v1,aliases,1,13363,13363,189,189
qwen2.5:7b,A1,v1,negation,1,16478,16478,296,296
qwen2.5:7b,A1,v1,short,1,10244,10244,197,197
qwen2.5:7b,A1,v1,table_noisy,1,15488,15488,255,255
qwen2.5:7b,B,native,aliases,1,13176,13176,189,189
qwen2.5:7b,B,native,negation,1,24130,24130,296,296
qwen2.5:7b,B,native,short,1,12908,12908,197,197
qwen2.5:7b,B,native,table_noisy,1,22530,22530,255,255
qwen2.5:7b,B,v1,aliases,1,11153,11153,189,189
qwen2.5:7b,B,v1,negation,1,18688,18688,296,296
qwen2.5:7b,B,v1,short,1,11989,11989,197,197
qwen2.5:7b,B,v1,table_noisy,1,18544,18544,255,255
qwen2.5:7b,C,native,aliases,1,20534,20534,303,303
qwen2.5:7b,C,native,negation,1,19048,19048,291,291
qwen2.5:7b,C,native,short,1,10518,10518,131,131
qwen2.5:7b,C,native,table_noisy,1,15865,15865,233,233
qwen2.5:7b,C,v1,aliases,1,17571,17571,303,303
qwen2.5:7b,C,v1,negation,1,16795,16795,291,291
qwen2.5:7b,C,v1,short,1,12144,12144,131,131
qwen2.5:7b,C,v1,table_noisy,1,13814,13814,233,233
taguru-extract-12b,A0,native,aliases,3,28135,32409,414,414
taguru-extract-12b,A0,native,long_dense,8,56398,151205,512,1204
taguru-extract-12b,A0,native,long_dense#p0,3,37830,40719,433,433
taguru-extract-12b,A0,native,long_dense#p1,3,38499,41531,445,445
taguru-extract-12b,A0,native,long_dense#p2,3,41424,43163,468,468
taguru-extract-12b,A0,native,long_dense#p3,3,33867,38012,385,400
taguru-extract-12b,A0,native,long_dense#p4,3,29714,32162,339,339
taguru-extract-12b,A0,native,negation,3,21573,22057,382,382
taguru-extract-12b,A0,native,output_limit,14,63410,165142,512,1540
taguru-extract-12b,A0,native,short,3,13746,14226,270,270
taguru-extract-12b,A0,native,table_noisy,3,41036,41323,436,436
taguru-extract-12b,A0,v1,long_dense,4,53760,58664,512,512
taguru-extract-12b,A0,v1,output_limit,4,46392,53321,512,512
taguru-extract-12b,A1,native,aliases,3,25181,25336,252,252
taguru-extract-12b,A1,native,long_dense,8,57564,119284,512,1166
taguru-extract-12b,A1,native,negation,3,30458,34742,300,300
taguru-extract-12b,A1,native,output_limit,8,52433,155586,512,1464
taguru-extract-12b,A1,native,short,3,18261,23755,163,163
taguru-extract-12b,A1,native,table_noisy,3,43836,61052,433,433
taguru-extract-12b,A1,v1,aliases,5,164206,166630,2048,2048
taguru-extract-12b,A1,v1,long_dense,4,44682,63529,512,512
taguru-extract-12b,A1,v1,negation,6,170224,173939,2048,2048
taguru-extract-12b,A1,v1,output_limit,4,48409,60876,512,512
taguru-extract-12b,A1,v1,short,4,166222,170956,2048,2048
taguru-extract-12b,B,native,aliases,3,25826,26701,252,252
taguru-extract-12b,B,native,long_dense,8,59694,127103,512,1166
taguru-extract-12b,B,native,negation,3,31507,34855,300,300
taguru-extract-12b,B,native,output_limit,8,55374,151031,512,1464
taguru-extract-12b,B,native,short,3,17247,20512,163,163
taguru-extract-12b,B,native,table_noisy,3,44284,44333,422,422
taguru-extract-12b,B,v1,aliases,2,110222,179041,2048,2048
taguru-extract-12b,B,v1,negation,1,178313,178313,2048,2048
taguru-extract-12b,B,v1,short,1,179186,179186,2048,2048
taguru-extract-12b,C,native,aliases,3,42105,47465,416,416
taguru-extract-12b,C,native,long_dense,8,60192,127186,512,1249
taguru-extract-12b,C,native,negation,3,51634,58238,516,516
taguru-extract-12b,C,native,output_limit,8,61135,177709,512,1729
taguru-extract-12b,C,native,short,3,27599,33379,270,270
taguru-extract-12b,C,native,table_noisy,3,39559,44802,385,385
